alert_id,transaction_id,customer_id,account_id,alert_date,scenario,alert_score,alert_status,priority,assigned_analyst,resolution_date,false_positive
ALT00190,TXN001727,CUST0041,ACC00056,2022-06-20 03:01:00,Dormant Account Activity,88,Closed-SAR Filed,High,Analyst_04,2022-07-29 20:50:00,No
ALT00191,TXN001263,CUST0196,ACC00260,2024-07-31 06:47:00,Structuring,64,Open,High,Analyst_01,,No
ALT00192,TXN003728,CUST0153,ACC00202,2023-06-08 23:17:00,Round-Trip Transaction,60,Under Review,Medium,Analyst_01,,No
ALT00193,TXN001005,CUST0303,ACC00398,2023-03-11 13:44:00,Structuring,85,Open,Low,Analyst_04,,No
ALT00194,TXN002837,CUST0205,ACC00274,2023-06-21 19:27:00,Round-Trip Transaction,44,Under Review,Low,Analyst_10,,No
ALT00195,TXN001282,CUST0044,ACC00061,2023-05-16 11:38:00,High-Risk Geography,72,Open,Medium,Analyst_06,,No
ALT00196,TXN000063,CUST0177,ACC00235,2022-12-13 15:43:00,High-Risk Geography,44,Closed-SAR Filed,Medium,Analyst_07,2023-01-18 10:54:00,Yes
ALT00197,TXN004243,CUST0295,ACC00386,2024-12-07 18:37:00,Structuring,55,Open,High,Analyst_01,,No
ALT00198,TXN004197,CUST0434,ACC00566,2023-08-19 13:07:00,Layering,70,Closed-False Positive,Medium,Analyst_04,2023-09-17 00:43:00,No
ALT00199,TXN003670,CUST0202,ACC00269,2024-11-18 17:51:00,High-Risk Geography,99,Under Review,Low,Analyst_09,,No
ALT00200,TXN003142,CUST0271,ACC00355,2024-07-24 04:56:00,Unusual Cash Pattern,33,Closed-False Positive,Medium,Analyst_09,2024-08-21 08:29:00,No
ALT00201,TXN002548,CUST0351,ACC00461,2024-05-22 07:59:00,Structuring,76,Under Review,Medium,Analyst_10,,Yes
ALT00202,TXN001688,CUST0199,ACC00264,2023-05-08 20:37:00,High-Risk Geography,97,Closed-SAR Filed,Low,Analyst_09,2023-07-08 02:18:00,No
ALT00203,TXN002194,CUST0205,ACC00274,2023-03-09 17:01:00,Structuring,54,Closed-False Positive,Medium,Analyst_07,2023-04-22 20:06:00,No
ALT00204,TXN001669,CUST0101,ACC00138,2022-03-20 12:40:00,Unusual Cash Pattern,93,Closed-SAR Filed,Medium,Analyst_09,2022-05-09 01:05:00,No
ALT00205,TXN001086,CUST0464,ACC00607,2023-02-21 16:49:00,Structuring,81,Closed-SAR Filed,Medium,Analyst_07,2023-04-02 19:08:00,Yes
ALT00206,TXN001131,CUST0251,ACC00331,2022-09-29 11:34:00,High-Risk Geography,49,Closed-False Positive,Low,Analyst_08,2022-10-07 00:34:00,No
ALT00207,TXN004769,CUST0201,ACC00268,2023-06-30 11:03:00,Unusual Cash Pattern,51,Under Review,Medium,Analyst_03,,Yes
ALT00208,TXN004697,CUST0097,ACC00133,2024-03-10 14:58:00,Structuring,76,Open,Medium,Analyst_06,,No
ALT00209,TXN001381,CUST0127,ACC00172,2024-10-08 15:49:00,Rapid Movement,59,Closed-False Positive,Low,Analyst_10,2024-11-29 03:45:00,No
ALT00210,TXN003973,CUST0129,ACC00175,2023-04-22 04:52:00,Rapid Movement,68,Closed-False Positive,Low,Analyst_03,2023-05-28 20:42:00,No
ALT00211,TXN003578,CUST0341,ACC00447,2024-11-09 01:34:00,Dormant Account Activity,71,Under Review,Medium,Analyst_01,,No
ALT00212,TXN003516,CUST0113,ACC00152,2024-05-25 20:54:00,Round-Trip Transaction,44,Open,Low,Analyst_08,,No
ALT00213,TXN000218,CUST0015,ACC00021,2023-11-22 15:40:00,Dormant Account Activity,51,Escalated,High,Analyst_03,2023-11-29 19:29:00,No
ALT00214,TXN002611,CUST0388,ACC00510,2024-05-23 13:10:00,High-Risk Geography,38,Closed-SAR Filed,High,Analyst_07,2024-07-02 23:39:00,No
ALT00215,TXN002308,CUST0469,ACC00613,2023-12-21 12:20:00,Dormant Account Activity,55,Closed-False Positive,Low,Analyst_06,2024-01-10 16:23:00,No
ALT00216,TXN001667,CUST0455,ACC00596,2024-08-21 03:59:00,High-Risk Geography,34,Under Review,High,Analyst_02,,Yes
ALT00217,TXN003859,CUST0170,ACC00225,2024-10-18 03:39:00,Layering,35,Under Review,Medium,Analyst_09,,Yes
ALT00218,TXN000916,CUST0074,ACC00104,2022-12-16 14:08:00,Round-Trip Transaction,72,Closed-SAR Filed,High,Analyst_06,2023-02-12 02:30:00,Yes
ALT00219,TXN002047,CUST0076,ACC00106,2023-01-07 15:27:00,Structuring,50,Escalated,High,Analyst_10,2023-02-07 22:40:00,Yes
ALT00220,TXN000003,CUST0302,ACC00396,2023-08-21 17:51:00,Rapid Movement,81,Escalated,Low,Analyst_09,2023-09-11 20:34:00,No
ALT00221,TXN003087,CUST0337,ACC00442,2022-09-27 03:27:00,Structuring,48,Closed-False Positive,Medium,Analyst_09,2022-10-15 22:44:00,Yes
ALT00222,TXN001809,CUST0023,ACC00031,2023-01-24 10:11:00,Unusual Cash Pattern,56,Closed-False Positive,High,Analyst_08,2023-02-12 19:45:00,No
ALT00223,TXN003497,CUST0294,ACC00385,2022-10-03 02:22:00,Unusual Cash Pattern,82,Closed-False Positive,Medium,Analyst_02,2022-11-14 01:19:00,No
ALT00224,TXN001092,CUST0305,ACC00401,2022-01-27 02:11:00,PEP Transaction,44,Under Review,Medium,Analyst_06,,Yes
ALT00225,TXN001544,CUST0473,ACC00618,2024-02-17 02:34:00,Dormant Account Activity,38,Closed-False Positive,Medium,Analyst_04,2024-03-25 03:05:00,Yes
ALT00226,TXN004876,CUST0018,ACC00024,2023-02-10 21:41:00,Unusual Cash Pattern,42,Open,High,Analyst_10,,No
ALT00227,TXN000993,CUST0299,ACC00392,2023-02-06 05:00:00,Round-Trip Transaction,63,Open,High,Analyst_09,,No
ALT00228,TXN000406,CUST0154,ACC00204,2023-06-27 16:11:00,PEP Transaction,48,Under Review,High,Analyst_04,,No
ALT00229,TXN001683,CUST0140,ACC00188,2022-01-14 19:07:00,Structuring,35,Open,Medium,Analyst_03,,No
ALT00230,TXN001867,CUST0106,ACC00143,2024-10-19 20:34:00,Round-Trip Transaction,59,Under Review,Low,Analyst_09,,No
ALT00231,TXN000266,CUST0371,ACC00485,2024-05-14 12:21:00,Structuring,73,Closed-False Positive,Medium,Analyst_06,2024-05-22 23:47:00,No
ALT00232,TXN002413,CUST0402,ACC00528,2023-02-07 10:15:00,Layering,91,Open,Low,Analyst_04,,No
ALT00233,TXN002575,CUST0208,ACC00277,2023-11-23 15:50:00,PEP Transaction,50,Open,Medium,Analyst_02,,Yes
ALT00234,TXN004199,CUST0147,ACC00195,2023-02-11 15:36:00,Structuring,63,Escalated,High,Analyst_09,2023-02-15 08:04:00,No
ALT00235,TXN003508,CUST0356,ACC00468,2024-08-01 06:35:00,Structuring,33,Closed-False Positive,High,Analyst_03,2024-08-24 20:28:00,No
ALT00236,TXN001984,CUST0217,ACC00289,2022-03-18 10:56:00,Rapid Movement,75,Closed-False Positive,Medium,Analyst_10,2022-03-31 16:52:00,No
ALT00237,TXN001602,CUST0271,ACC00356,2024-05-06 00:50:00,PEP Transaction,74,Closed-False Positive,Medium,Analyst_02,2024-05-24 01:34:00,No
ALT00238,TXN003950,CUST0371,ACC00485,2022-06-28 18:19:00,Dormant Account Activity,39,Under Review,Medium,Analyst_04,,No
ALT00239,TXN003369,CUST0177,ACC00234,2022-01-28 03:42:00,High-Risk Geography,86,Under Review,Medium,Analyst_04,,Yes
ALT00240,TXN004640,CUST0346,ACC00454,2023-11-02 16:42:00,PEP Transaction,69,Under Review,Medium,Analyst_07,,No
ALT00241,TXN001288,CUST0436,ACC00569,2023-01-09 10:45:00,PEP Transaction,80,Closed-SAR Filed,Medium,Analyst_09,2023-01-10 17:54:00,No
ALT00242,TXN001018,CUST0168,ACC00222,2024-10-25 20:42:00,High-Risk Geography,80,Closed-False Positive,Medium,Analyst_02,2024-12-12 19:56:00,No
ALT00243,TXN002423,CUST0444,ACC00582,2022-06-15 16:30:00,Round-Trip Transaction,88,Closed-False Positive,Medium,Analyst_05,2022-06-29 02:17:00,Yes
ALT00244,TXN002577,CUST0487,ACC00637,2024-08-08 19:33:00,High-Risk Geography,34,Under Review,Low,Analyst_02,,No
ALT00245,TXN000924,CUST0491,ACC00642,2022-06-07 08:11:00,Rapid Movement,59,Closed-False Positive,Medium,Analyst_08,2022-06-22 09:58:00,Yes
ALT00246,TXN003113,CUST0480,ACC00628,2022-05-09 23:41:00,Dormant Account Activity,45,Under Review,Medium,Analyst_10,,Yes
ALT00247,TXN002030,CUST0013,ACC00017,2024-04-12 15:15:00,Dormant Account Activity,85,Closed-False Positive,Medium,Analyst_07,2024-05-23 10:08:00,No
ALT00248,TXN003614,CUST0022,ACC00030,2024-07-15 23:02:00,PEP Transaction,72,Under Review,Low,Analyst_09,,Yes
ALT00249,TXN001243,CUST0146,ACC00194,2022-07-15 19:30:00,High-Risk Geography,61,Open,Low,Analyst_05,,Yes
ALT00250,TXN001808,CUST0372,ACC00486,2023-12-27 22:36:00,Rapid Movement,32,Open,Low,Analyst_02,,No
ALT00251,TXN002863,CUST0342,ACC00448,2022-05-09 05:20:00,Structuring,69,Open,Low,Analyst_10,,No
ALT00252,TXN004936,CUST0119,ACC00159,2024-01-02 20:21:00,Layering,73,Under Review,Low,Analyst_06,,No
ALT00253,TXN001369,CUST0209,ACC00278,2022-05-24 16:43:00,Unusual Cash Pattern,73,Closed-False Positive,Low,Analyst_05,2022-07-12 17:18:00,No
ALT00254,TXN001934,CUST0310,ACC00407,2023-09-08 17:30:00,Unusual Cash Pattern,34,Open,Medium,Analyst_01,,No
ALT00255,TXN000877,CUST0049,ACC00067,2022-04-13 19:37:00,Unusual Cash Pattern,52,Closed-False Positive,High,Analyst_08,2022-05-16 05:29:00,No
ALT00256,TXN004951,CUST0240,ACC00316,2022-01-25 05:16:00,Dormant Account Activity,65,Under Review,Low,Analyst_09,,No
ALT00257,TXN001035,CUST0447,ACC00586,2023-07-08 06:59:00,Rapid Movement,67,Closed-False Positive,Medium,Analyst_04,2023-07-29 06:00:00,No
ALT00258,TXN003252,CUST0158,ACC00210,2024-11-14 06:05:00,PEP Transaction,60,Open,Low,Analyst_04,,No
ALT00259,TXN003991,CUST0200,ACC00265,2022-10-01 10:49:00,Layering,59,Open,Medium,Analyst_06,,No
ALT00260,TXN003126,CUST0075,ACC00105,2022-05-25 21:37:00,Dormant Account Activity,69,Open,Low,Analyst_06,,No
ALT00261,TXN004957,CUST0407,ACC00535,2024-08-23 14:10:00,Round-Trip Transaction,83,Closed-SAR Filed,Low,Analyst_10,2024-09-16 19:31:00,No
ALT00262,TXN004094,CUST0420,ACC00550,2024-10-29 05:59:00,High-Risk Geography,68,Closed-False Positive,Medium,Analyst_06,2024-11-15 22:37:00,Yes
ALT00263,TXN003637,CUST0137,ACC00185,2022-12-23 08:49:00,Layering,74,Closed-SAR Filed,Low,Analyst_01,2023-01-01 09:52:00,No
ALT00264,TXN000307,CUST0153,ACC00202,2024-09-20 23:42:00,Rapid Movement,73,Under Review,Medium,Analyst_09,,No
ALT00265,TXN001348,CUST0078,ACC00108,2022-11-04 14:37:00,Unusual Cash Pattern,75,Under Review,Medium,Analyst_07,,No
ALT00266,TXN002536,CUST0265,ACC00348,2023-02-02 08:39:00,Round-Trip Transaction,59,Closed-False Positive,Medium,Analyst_04,2023-03-20 22:08:00,No
ALT00267,TXN000781,CUST0291,ACC00381,2022-07-12 04:51:00,Structuring,41,Open,Low,Analyst_09,,No
ALT00268,TXN000334,CUST0027,ACC00038,2024-01-17 20:09:00,High-Risk Geography,64,Under Review,Low,Analyst_05,,Yes
ALT00269,TXN004399,CUST0293,ACC00383,2022-03-08 05:57:00,High-Risk Geography,37,Closed-False Positive,Medium,Analyst_05,2022-03-13 20:50:00,No
ALT00270,TXN001147,CUST0188,ACC00250,2024-09-02 13:41:00,Round-Trip Transaction,53,Open,Low,Analyst_04,,No
ALT00271,TXN003653,CUST0489,ACC00639,2023-11-04 03:37:00,High-Risk Geography,95,Closed-False Positive,High,Analyst_01,2024-01-03 21:21:00,No
ALT00272,TXN002088,CUST0041,ACC00055,2024-12-23 10:38:00,Round-Trip Transaction,100,Under Review,High,Analyst_03,,No
ALT00273,TXN003073,CUST0066,ACC00093,2022-08-09 19:54:00,Round-Trip Transaction,39,Closed-SAR Filed,Medium,Analyst_09,2022-09-29 09:52:00,No
ALT00274,TXN004066,CUST0048,ACC00066,2023-12-11 08:50:00,PEP Transaction,93,Open,Medium,Analyst_10,,No
ALT00275,TXN002124,CUST0121,ACC00163,2023-06-05 19:28:00,Rapid Movement,91,Under Review,High,Analyst_01,,Yes
ALT00276,TXN003591,CUST0094,ACC00129,2024-06-04 20:15:00,Rapid Movement,75,Closed-False Positive,Medium,Analyst_01,2024-07-31 20:52:00,Yes
ALT00277,TXN001213,CUST0231,ACC00306,2023-01-25 02:37:00,Round-Trip Transaction,70,Closed-SAR Filed,High,Analyst_08,2023-01-31 08:53:00,Yes
ALT00278,TXN004016,CUST0058,ACC00082,2024-02-13 12:20:00,Layering,78,Open,Medium,Analyst_05,,No
ALT00279,TXN000496,CUST0294,ACC00385,2024-06-23 01:31:00,PEP Transaction,64,Escalated,Medium,Analyst_03,2024-07-05 05:03:00,Yes
ALT00280,TXN001303,CUST0317,ACC00417,2022-01-06 18:47:00,PEP Transaction,69,Under Review,Low,Analyst_02,,No
ALT00281,TXN002664,CUST0001,ACC00002,2023-02-16 16:20:00,Unusual Cash Pattern,56,Open,Medium,Analyst_09,,No
ALT00282,TXN001658,CUST0334,ACC00437,2023-11-21 04:51:00,PEP Transaction,86,Open,High,Analyst_01,,Yes
ALT00283,TXN003943,CUST0209,ACC00279,2024-07-12 01:08:00,Dormant Account Activity,84,Escalated,High,Analyst_10,2024-08-02 07:42:00,No
ALT00284,TXN003697,CUST0189,ACC00252,2022-07-29 00:38:00,High-Risk Geography,31,Escalated,Medium,Analyst_07,2022-09-05 06:20:00,No
ALT00285,TXN004160,CUST0296,ACC00388,2022-12-03 20:23:00,Rapid Movement,64,Under Review,Medium,Analyst_10,,No
ALT00286,TXN001388,CUST0154,ACC00204,2024-01-07 06:47:00,Rapid Movement,42,Under Review,High,Analyst_06,,Yes
ALT00287,TXN003376,CUST0081,ACC00112,2022-08-15 07:31:00,High-Risk Geography,62,Open,Medium,Analyst_10,,No
ALT00288,TXN001216,CUST0105,ACC00142,2024-01-07 07:45:00,Layering,64,Under Review,High,Analyst_04,,Yes
ALT00289,TXN000975,CUST0348,ACC00456,2023-07-08 11:50:00,High-Risk Geography,37,Closed-SAR Filed,High,Analyst_08,2023-08-26 07:03:00,No
ALT00290,TXN004321,CUST0244,ACC00321,2023-02-13 19:23:00,Dormant Account Activity,71,Open,Low,Analyst_01,,No
ALT00291,TXN002547,CUST0048,ACC00066,2022-07-11 20:52:00,Dormant Account Activity,36,Under Review,Medium,Analyst_09,,No
ALT00292,TXN003468,CUST0457,ACC00598,2023-11-01 22:23:00,Rapid Movement,97,Open,Low,Analyst_08,,No
ALT00293,TXN004054,CUST0130,ACC00176,2023-06-01 22:58:00,Structuring,87,Closed-SAR Filed,Medium,Analyst_03,2023-07-08 00:16:00,No
ALT00294,TXN001590,CUST0002,ACC00003,2024-04-07 03:58:00,Dormant Account Activity,37,Under Review,High,Analyst_03,,No
ALT00295,TXN001951,CUST0229,ACC00303,2024-03-10 23:45:00,High-Risk Geography,66,Under Review,Low,Analyst_04,,No
ALT00296,TXN001897,CUST0134,ACC00182,2023-08-14 23:27:00,Unusual Cash Pattern,59,Under Review,Medium,Analyst_08,,No
ALT00297,TXN004664,CUST0215,ACC00287,2024-12-12 19:28:00,Rapid Movement,51,Open,Medium,Analyst_08,,No
ALT00298,TXN003118,CUST0494,ACC00646,2022-02-11 17:01:00,Round-Trip Transaction,80,Open,Low,Analyst_05,,Yes
ALT00299,TXN000594,CUST0117,ACC00157,2022-08-09 23:03:00,Unusual Cash Pattern,54,Open,Medium,Analyst_04,,No
ALT00300,TXN001495,CUST0245,ACC00322,2022-01-31 13:30:00,Dormant Account Activity,100,Open,High,Analyst_08,,No
ALT00301,TXN002087,CUST0158,ACC00209,2024-05-06 19:24:00,PEP Transaction,97,Under Review,Low,Analyst_07,,No
ALT00302,TXN004515,CUST0168,ACC00222,2024-08-31 16:44:00,Round-Trip Transaction,55,Closed-SAR Filed,Medium,Analyst_03,2024-10-23 13:16:00,No
ALT00303,TXN003077,CUST0267,ACC00351,2024-01-29 15:54:00,High-Risk Geography,64,Closed-SAR Filed,Medium,Analyst_03,2024-02-25 12:56:00,No
ALT00304,TXN003347,CUST0483,ACC00632,2022-02-19 05:23:00,Rapid Movement,85,Closed-False Positive,Medium,Analyst_01,2022-03-30 02:47:00,Yes
ALT00305,TXN002188,CUST0336,ACC00441,2022-05-03 18:44:00,High-Risk Geography,91,Open,Medium,Analyst_09,,No
ALT00306,TXN001611,CUST0002,ACC00003,2022-12-01 20:03:00,Round-Trip Transaction,41,Closed-False Positive,Medium,Analyst_08,2023-01-22 09:55:00,No
ALT00307,TXN000505,CUST0283,ACC00371,2023-02-03 02:08:00,Rapid Movement,61,Closed-SAR Filed,Medium,Analyst_02,2023-03-07 15:57:00,Yes
ALT00308,TXN004056,CUST0416,ACC00545,2023-12-07 05:22:00,Dormant Account Activity,98,Under Review,Medium,Analyst_03,,No
ALT00309,TXN001169,CUST0198,ACC00263,2022-12-14 02:30:00,Structuring,86,Escalated,High,Analyst_08,2022-12-17 23:52:00,No
ALT00310,TXN000065,CUST0324,ACC00426,2023-07-06 15:52:00,Rapid Movement,50,Closed-SAR Filed,High,Analyst_05,2023-08-12 12:48:00,Yes
ALT00311,TXN004279,CUST0338,ACC00444,2024-06-22 18:28:00,High-Risk Geography,83,Closed-False Positive,High,Analyst_07,2024-06-26 06:15:00,No
ALT00312,TXN004892,CUST0302,ACC00395,2022-05-10 03:26:00,Rapid Movement,64,Closed-SAR Filed,Medium,Analyst_07,2022-06-13 01:50:00,No
ALT00313,TXN001110,CUST0145,ACC00193,2022-12-16 02:16:00,Unusual Cash Pattern,46,Open,Medium,Analyst_07,,No
ALT00314,TXN001647,CUST0063,ACC00088,2022-02-28 12:52:00,Unusual Cash Pattern,66,Open,Low,Analyst_06,,No
ALT00315,TXN003467,CUST0243,ACC00320,2024-11-28 21:08:00,Round-Trip Transaction,45,Under Review,High,Analyst_09,,No
ALT00316,TXN002567,CUST0263,ACC00346,2022-06-14 13:34:00,Rapid Movement,64,Open,Medium,Analyst_06,,No
ALT00317,TXN004229,CUST0232,ACC00308,2022-03-20 07:23:00,Rapid Movement,74,Under Review,Medium,Analyst_01,,No
ALT00318,TXN004033,CUST0416,ACC00546,2023-03-15 09:11:00,Dormant Account Activity,98,Under Review,Medium,Analyst_02,,No
ALT00319,TXN004343,CUST0218,ACC00290,2022-09-16 14:49:00,Structuring,34,Closed-False Positive,Medium,Analyst_01,2022-10-01 18:05:00,No
ALT00320,TXN004180,CUST0422,ACC00553,2022-06-11 17:13:00,Round-Trip Transaction,42,Open,Medium,Analyst_08,,Yes
ALT00321,TXN004452,CUST0292,ACC00382,2024-10-04 22:09:00,Structuring,47,Closed-False Positive,Low,Analyst_04,2024-10-21 18:11:00,Yes
ALT00322,TXN000050,CUST0453,ACC00594,2023-12-09 01:44:00,Dormant Account Activity,98,Open,Low,Analyst_09,,No
ALT00323,TXN004553,CUST0321,ACC00422,2022-06-17 07:30:00,High-Risk Geography,65,Escalated,High,Analyst_02,2022-07-23 22:13:00,No
ALT00324,TXN002086,CUST0247,ACC00325,2023-01-15 04:42:00,PEP Transaction,98,Closed-False Positive,Medium,Analyst_01,2023-03-11 18:38:00,Yes
ALT00325,TXN001035,CUST0447,ACC00586,2022-05-15 20:48:00,Structuring,87,Open,Medium,Analyst_05,,No
ALT00326,TXN003520,CUST0181,ACC00241,2024-03-29 07:11:00,PEP Transaction,95,Closed-SAR Filed,Medium,Analyst_06,2024-05-27 22:31:00,No
ALT00327,TXN002669,CUST0086,ACC00119,2023-12-09 19:57:00,Layering,61,Under Review,Low,Analyst_04,,No
ALT00328,TXN003583,CUST0037,ACC00051,2024-05-28 09:11:00,High-Risk Geography,49,Closed-False Positive,Low,Analyst_02,2024-07-03 23:53:00,No
ALT00329,TXN003633,CUST0441,ACC00579,2023-12-24 06:58:00,Layering,91,Closed-SAR Filed,Medium,Analyst_04,2024-02-10 06:36:00,No
ALT00330,TXN001135,CUST0233,ACC00309,2022-09-07 00:09:00,Rapid Movement,37,Closed-False Positive,Medium,Analyst_10,2022-11-04 15:23:00,Yes
ALT00331,TXN002404,CUST0432,ACC00564,2024-09-24 11:26:00,Round-Trip Transaction,91,Open,Low,Analyst_02,,Yes
ALT00332,TXN002125,CUST0203,ACC00270,2024-01-14 10:53:00,High-Risk Geography,56,Under Review,High,Analyst_08,,No
ALT00333,TXN004621,CUST0429,ACC00560,2023-04-10 03:34:00,Unusual Cash Pattern,66,Closed-SAR Filed,Low,Analyst_08,2023-04-27 14:16:00,Yes
ALT00334,TXN003518,CUST0165,ACC00218,2024-10-16 17:12:00,Structuring,80,Closed-False Positive,Medium,Analyst_09,2024-11-10 09:06:00,No
ALT00335,TXN003729,CUST0146,ACC00194,2022-09-20 16:24:00,Unusual Cash Pattern,58,Under Review,Medium,Analyst_01,,Yes
ALT00336,TXN002178,CUST0435,ACC00567,2023-04-03 02:24:00,Structuring,64,Closed-SAR Filed,Low,Analyst_10,2023-05-25 22:52:00,Yes
ALT00337,TXN001346,CUST0087,ACC00120,2023-06-07 01:55:00,Layering,85,Closed-False Positive,Medium,Analyst_01,2023-08-04 23:45:00,No
ALT00338,TXN003318,CUST0446,ACC00585,2023-06-07 01:24:00,Layering,82,Under Review,Low,Analyst_01,,Yes
ALT00339,TXN001604,CUST0070,ACC00099,2022-08-06 06:54:00,Round-Trip Transaction,94,Under Review,Low,Analyst_08,,No
ALT00340,TXN003608,CUST0487,ACC00637,2023-12-27 17:15:00,Rapid Movement,48,Closed-SAR Filed,Medium,Analyst_09,2024-01-03 23:58:00,No
ALT00341,TXN002752,CUST0003,ACC00005,2022-11-14 18:27:00,Dormant Account Activity,100,Closed-SAR Filed,Medium,Analyst_07,2022-12-01 11:09:00,No
ALT00342,TXN000934,CUST0168,ACC00222,2023-03-01 18:22:00,Unusual Cash Pattern,64,Under Review,High,Analyst_02,,No
ALT00343,TXN001513,CUST0296,ACC00388,2023-11-01 11:45:00,Rapid Movement,93,Closed-False Positive,High,Analyst_09,2023-12-06 13:35:00,No
ALT00344,TXN003977,CUST0336,ACC00440,2024-09-09 21:09:00,Round-Trip Transaction,58,Escalated,Medium,Analyst_06,2024-10-28 14:43:00,Yes
ALT00345,TXN000629,CUST0494,ACC00645,2022-01-09 21:12:00,Dormant Account Activity,71,Closed-SAR Filed,Low,Analyst_09,2022-02-01 03:34:00,Yes
ALT00346,TXN000215,CUST0016,ACC00022,2024-06-10 06:05:00,Layering,61,Closed-False Positive,Low,Analyst_02,2024-07-13 07:54:00,No
ALT00347,TXN003195,CUST0481,ACC00629,2023-12-17 19:14:00,Structuring,41,Closed-False Positive,Low,Analyst_04,2024-01-15 02:05:00,No
ALT00348,TXN000092,CUST0251,ACC00331,2024-04-02 03:44:00,Round-Trip Transaction,55,Closed-False Positive,Low,Analyst_10,2024-05-10 14:16:00,Yes
ALT00349,TXN002453,CUST0302,ACC00396,2023-07-28 03:52:00,High-Risk Geography,49,Open,Low,Analyst_05,,No
ALT00350,TXN002856,CUST0182,ACC00242,2023-11-04 22:07:00,High-Risk Geography,95,Closed-False Positive,High,Analyst_05,2023-11-25 00:28:00,No
ALT00351,TXN004751,CUST0058,ACC00082,2024-01-02 19:33:00,Layering,33,Open,Low,Analyst_04,,No
ALT00352,TXN004446,CUST0323,ACC00425,2024-03-27 02:40:00,Dormant Account Activity,69,Escalated,Medium,Analyst_08,2024-05-22 22:46:00,No
ALT00353,TXN001192,CUST0417,ACC00547,2024-10-06 21:06:00,Structuring,65,Escalated,Low,Analyst_01,2024-10-16 15:49:00,No
ALT00354,TXN001434,CUST0248,ACC00326,2024-10-21 09:24:00,PEP Transaction,68,Open,Low,Analyst_08,,Yes
ALT00355,TXN004975,CUST0119,ACC00159,2022-04-18 01:37:00,Rapid Movement,58,Closed-SAR Filed,Medium,Analyst_05,2022-04-20 13:48:00,Yes
ALT00356,TXN002304,CUST0459,ACC00601,2022-04-24 12:14:00,Layering,93,Under Review,Low,Analyst_01,,No
ALT00357,TXN000850,CUST0069,ACC00098,2024-04-16 09:59:00,Rapid Movement,70,Closed-SAR Filed,Medium,Analyst_06,2024-05-10 12:54:00,Yes
ALT00358,TXN000319,CUST0249,ACC00328,2024-12-04 19:26:00,Rapid Movement,67,Under Review,Medium,Analyst_03,,No
ALT00359,TXN001633,CUST0250,ACC00329,2024-06-01 04:06:00,Rapid Movement,79,Closed-False Positive,High,Analyst_05,2024-07-09 04:18:00,Yes
ALT00360,TXN002426,CUST0030,ACC00042,2023-06-09 03:41:00,Layering,53,Open,Low,Analyst_07,,No
ALT00361,TXN002207,CUST0125,ACC00168,2023-11-06 18:24:00,Dormant Account Activity,77,Closed-False Positive,High,Analyst_04,2023-12-29 00:17:00,No
ALT00362,TXN001027,CUST0404,ACC00531,2022-12-15 14:44:00,Structuring,92,Under Review,Medium,Analyst_07,,No
ALT00363,TXN000382,CUST0317,ACC00417,2024-04-19 10:56:00,High-Risk Geography,70,Closed-False Positive,Low,Analyst_10,2024-05-08 22:41:00,No
ALT00364,TXN000568,CUST0169,ACC00224,2024-07-21 13:19:00,High-Risk Geography,91,Closed-SAR Filed,Low,Analyst_05,2024-07-31 23:07:00,No
ALT00365,TXN004465,CUST0028,ACC00039,2024-09-03 13:04:00,PEP Transaction,98,Closed-False Positive,High,Analyst_08,2024-09-03 14:46:00,No
ALT00366,TXN003426,CUST0237,ACC00313,2022-03-26 17:29:00,Round-Trip Transaction,49,Open,High,Analyst_09,,No
ALT00367,TXN000448,CUST0072,ACC00101,2022-11-13 00:33:00,Layering,67,Closed-False Positive,Medium,Analyst_01,2022-11-23 02:31:00,No
ALT00368,TXN001063,CUST0473,ACC00618,2024-12-20 16:43:00,Round-Trip Transaction,98,Under Review,Medium,Analyst_02,,No
ALT00369,TXN004285,CUST0332,ACC00435,2022-01-22 08:15:00,Rapid Movement,95,Closed-SAR Filed,Medium,Analyst_10,2022-03-02 15:03:00,No
ALT00370,TXN002736,CUST0072,ACC00102,2022-01-16 09:19:00,Structuring,93,Closed-SAR Filed,Medium,Analyst_01,2022-02-11 17:59:00,No
ALT00371,TXN004198,CUST0103,ACC00140,2022-04-13 05:34:00,Dormant Account Activity,98,Under Review,Low,Analyst_10,,No
ALT00372,TXN004384,CUST0150,ACC00199,2024-11-17 21:36:00,Round-Trip Transaction,79,Under Review,Medium,Analyst_01,,Yes
ALT00373,TXN002781,CUST0171,ACC00227,2022-06-02 01:45:00,Round-Trip Transaction,100,Closed-False Positive,High,Analyst_10,2022-06-25 19:41:00,No
ALT00374,TXN004201,CUST0244,ACC00321,2024-06-02 01:03:00,High-Risk Geography,76,Closed-False Positive,Low,Analyst_09,2024-08-01 12:58:00,No
ALT00375,TXN004250,CUST0251,ACC00330,2022-04-19 21:22:00,PEP Transaction,59,Under Review,Medium,Analyst_06,,No
ALT00376,TXN000179,CUST0438,ACC00574,2022-08-01 17:05:00,Dormant Account Activity,72,Closed-False Positive,High,Analyst_03,2022-08-20 12:51:00,No
ALT00377,TXN002896,CUST0494,ACC00645,2022-11-18 16:55:00,Unusual Cash Pattern,87,Escalated,Low,Analyst_08,2022-12-19 11:53:00,No
